time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-03-23,20.9,16.9,24.5,3.0,,74.0,20.4,,1023.5,
2018-03-24,22.9,17.1,27.0,0.0,,357.0,14.7,,1017.8,
2018-03-25,25.0,19.6,33.5,0.0,,327.0,19.2,,1008.2,
2018-03-26,19.7,18.7,27.5,2.2,,291.0,24.3,,1007.3,
2018-03-27,20.9,13.7,23.8,0.0,,251.0,15.0,,1017.1,
2018-03-28,23.3,16.6,28.1,0.0,,5.0,15.6,,1016.5,
2018-03-29,24.0,19.1,29.2,0.0,,357.0,15.4,,1015.6,
2018-03-30,23.1,20.0,29.3,0.0,,245.0,18.3,,1013.6,
2018-03-31,21.7,20.0,25.0,0.0,,152.0,18.4,,1018.4,
2018-04-01,24.4,18.8,30.3,0.0,,14.0,16.9,,1014.8,
2018-04-02,23.3,20.0,32.3,0.0,,88.0,16.0,,1014.4,
2018-04-03,21.9,19.9,24.1,3.6,,138.0,20.0,,1021.0,
2018-04-04,21.9,20.2,25.1,0.0,,151.0,14.7,,1020.0,
2018-04-05,23.6,18.5,28.5,0.0,,351.0,16.7,,1016.2,
2018-04-06,22.3,18.8,24.9,0.0,,156.0,16.2,,1017.4,
2018-04-07,23.9,19.2,28.9,0.0,,57.0,14.4,,1018.7,
2018-04-08,23.0,19.5,26.6,0.0,,95.0,14.3,,1018.0,
2018-04-09,23.8,19.2,36.5,0.0,,269.0,20.4,,1016.9,
2018-04-10,21.9,18.9,24.2,0.0,,106.0,16.1,,1021.6,
2018-04-11,23.8,19.8,28.6,0.0,,7.0,18.4,,1019.7,
2018-04-12,28.3,19.3,35.2,0.0,,347.0,15.7,,1014.5,
2018-04-13,28.3,22.7,34.6,0.0,,340.0,21.6,,1010.0,
2018-04-14,25.0,22.8,31.6,0.2,,317.0,31.0,,1003.0,
2018-04-15,21.5,17.9,25.1,0.0,,288.0,31.7,,1005.8,
2018-04-16,22.9,17.8,30.5,0.0,,304.0,17.6,,1011.7,
2018-04-17,19.0,17.7,21.1,0.0,,183.0,20.2,,1021.1,
2018-04-18,19.2,17.5,22.6,0.0,,93.0,13.1,,1024.3,
2018-04-19,20.9,15.2,26.6,0.0,,350.0,12.9,,1019.9,
2018-04-20,19.5,16.3,22.9,0.0,,216.0,17.1,,1020.1,
2018-04-21,19.3,16.5,22.5,0.0,,179.0,18.1,,1022.3,
2018-04-22,18.9,15.0,22.8,0.0,,175.0,14.4,,1022.3,
2018-04-23,19.6,14.9,24.4,0.0,,141.0,11.6,,1020.1,
2018-04-24,18.9,15.6,23.0,0.0,,194.0,12.4,,1018.5,
2018-04-25,19.6,14.3,22.9,0.0,,240.0,14.8,,1015.3,
2018-04-26,20.0,16.5,22.5,0.0,,217.0,23.1,,1015.4,
2018-04-27,17.1,16.8,19.8,0.8,,187.0,34.4,,1022.8,
2018-04-28,16.8,14.4,19.0,6.8,,203.0,27.1,,1024.7,
2018-04-29,16.0,14.9,19.9,0.8,,200.0,25.5,,1024.6,
2018-04-30,16.2,11.6,19.5,11.2,,242.0,20.5,,1026.1,
2018-05-01,18.3,12.0,23.6,0.0,,338.0,12.3,,1025.6,
2018-05-02,18.5,13.7,24.1,0.0,,341.0,11.1,,1021.0,
2018-05-03,22.6,13.4,27.5,0.0,,355.0,17.0,,1017.9,
2018-05-04,18.7,18.7,28.3,0.0,,309.0,23.7,,1014.9,
2018-05-05,16.0,11.3,22.1,0.0,,316.0,12.0,,1026.6,
2018-05-06,17.2,9.5,21.7,0.0,,356.0,12.9,,1029.7,
2018-05-07,19.1,12.1,25.6,0.0,,353.0,18.3,,1023.6,
2018-05-08,18.3,12.8,26.3,0.0,,328.0,11.3,,1021.3,
2018-05-09,19.1,12.8,26.0,0.0,,330.0,12.7,,1018.6,
2018-05-10,16.4,13.1,26.6,0.0,,318.0,21.8,,1009.9,
2018-05-11,13.8,9.5,17.8,0.0,,308.0,28.7,,1008.4,
2018-05-12,15.1,10.4,16.8,4.2,,267.0,32.8,,1009.4,
2018-05-13,15.1,13.0,17.3,0.6,,215.0,40.2,,1019.3,
2018-05-14,15.0,13.3,17.6,8.2,,213.0,31.3,,1024.0,
2018-05-15,15.2,10.8,18.6,0.0,,217.0,17.2,,1022.6,
2018-05-16,13.9,11.3,17.3,0.0,,203.0,22.8,,1026.1,
2018-05-17,14.6,9.4,21.6,0.0,,333.0,12.6,,1024.8,
2018-05-18,14.6,8.5,19.3,0.0,,284.0,12.8,,1021.0,
2018-05-19,14.3,10.5,19.5,0.0,,275.0,12.3,,1021.8,
2018-05-20,15.0,8.8,22.0,0.0,,284.0,16.1,,1019.6,
2018-05-21,16.0,10.3,22.4,0.0,,289.0,22.5,,1019.2,
2018-05-22,17.9,10.0,24.7,0.0,,281.0,16.8,,1019.1,
2018-05-23,15.6,12.9,20.1,0.0,,261.0,12.0,,1023.3,
2018-05-24,17.0,10.7,18.7,0.0,,217.0,17.3,,1023.9,
2018-05-25,14.1,15.8,17.6,0.0,,183.0,20.0,,1028.1,
2018-05-26,15.1,9.5,21.2,0.0,,348.0,13.3,,1028.9,
2018-05-27,16.4,9.7,22.2,0.0,,351.0,12.9,,1027.5,
2018-05-28,16.1,11.7,21.7,0.0,,346.0,11.2,,1024.0,
2018-05-29,18.2,10.8,25.1,0.0,,336.0,14.3,,1018.7,
2018-05-30,11.9,13.4,16.7,4.6,,259.0,24.2,,1018.3,
2018-05-31,13.8,7.9,16.2,0.2,,240.0,31.5,,1020.7,
2018-06-01,13.6,12.0,15.6,0.0,,215.0,40.2,,1022.2,
2018-06-02,14.7,10.9,15.7,0.4,,214.0,42.1,,1018.8,
2018-06-03,14.3,13.3,16.7,0.0,,213.0,30.2,,1019.5,
2018-06-04,13.9,10.5,16.7,0.2,,224.0,22.7,,1019.9,
2018-06-05,12.9,10.3,14.5,2.6,,224.0,21.3,,1025.4,
2018-06-06,12.8,11.0,16.4,51.8,,220.0,12.0,,1030.3,
2018-06-07,15.2,9.0,20.7,21.0,,341.0,13.0,,1030.5,
2018-06-08,14.0,10.6,18.7,0.0,,331.0,13.2,,1024.5,
2018-06-09,13.3,12.1,16.1,8.0,,296.0,13.4,,1022.2,
2018-06-10,13.3,10.0,15.9,2.8,,223.0,26.5,,1024.3,
